Author,Target,Description,Attack,Target Class,Attack Class,Link,Tags,Day,Month,Year,AttackGroup,AttackEncoded,AttackClassEncoded,TargetClassGroup,TargetClassEncoded,Africa,Asia,Australia,Europe,North America,South America,AuthorKnown
Chuckling Squad,Adam Sandler's Twitter account,"Adam Sandler's Twitter account is hacked and used to post offensive messages against Mariah Carey, President Obama, and President Trump.",Account Hijacking,R Arts entertainment and recreation,CC,forbes.com,"Adam Sandler, Twitter, Mariah Carey, President Obama, President Trump, Chuckling Squad",2,1,2020,Account Hijacking,1,0,Arts/ Entertainment,1,0,0,0,0,1,0,1
?,Klamath County Veterans Service Office,"Klamath County Veterans Service Office notifies a phishing attack occurred on September 19, 2019",Account Hijacking,"O Public administration and defence, compulsory social security",CC,databreaches.net,Klamath County Veterans Service Office,2,1,2020,Account Hijacking,1,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Alomere Health,"The personal and medical information of 49,351 patients is exposed following a security incident involving two employees' email accounts.",Account Hijacking,Q Human health and social work activities,CC,bleepingcomputer.com,Alomere Health,3,1,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Contra Costa County Library System,The Contra Costa County Library System is hit by ransomware,Malware,"O Public administration and defence, compulsory social security",CC,govtech.com,"The Contra Costa County Library System, ransomware",3,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Native American Rehabilitation Association,"Native American Rehabilitation Association announces that it experienced an Emotet attack on November 4-5, 2019.",Malware,Q Human health and social work activities,CC,databreaches.net,"Native American Rehabilitation Association, Emotet",3,1,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Austria's foreign ministry,Austria's foreign ministry is targeted by a cyber-attack that is suspected to have been conducted by a foreign country.,Targeted attack,"O Public administration and defence, compulsory social security",CE,bbc.com,Austria,4,1,2020,Targeted Attack,12,1,Public Sector/ Government,12,0,0,0,1,0,0,0
Iran cyber security group hackers,U.S. Federal Depository Library Program,The homepage for the U.S. Federal Depository Library Program is briefly altered to show a pro-Iranian message and an image of bloodied Donald Trump being punched in the face.,Defacement,"O Public administration and defence, compulsory social security",CW,cbsnews.com,"FDLP, U.S. Federal Depository Library Program, Iran, Iran cyber security group hackers",4,1,2020,Defacement,4,2,Public Sector/ Government,12,0,0,0,0,1,0,1
Shield Iran,Sierra Leone Commercial Bank (slcb.com),"For the same reason, a group of Iranian hackers dubbed ""Shield Iran"" defaces the Sierra Leone Commercial Bank",Defacement,K Financial and insurance activities,CW,hackread.com,"Shield Iran, Sierra Leone Commercial Bank, slcb.com",4,1,2020,Defacement,4,2,Financial Services,4,0,0,0,1,0,0,1
?,Multiple targets,"Researchers from Fortinet report that a ransomware strain known as DeathRansom, once considered a joke, is now capable of encrypting files using a solid encryption scheme.",Malware,Y Multiple Industries,CC,zdnet.com,"Fortinet, ransomware, DeathRansom",4,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Saskatchewan’s eHealth,"Hackers make through the first level of security for Saskatchewan’s eHealth records system, locking the government out of some systems and asking for a ransom.",Unknown,Q Human health and social work activities,CC,databreaches.net,Saskatchewan’s eHealth,4,1,2020,Unknown,13,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
